Name	Set	ImageFile	Type	Attribute	Rarity	Cost	Total Cost	Race	Trait	ATK	DEF	Divinity	Text
Ultimate Magic Warrior, Gear Atmos	ACN	ACN-026	Resonator	Light	Rare	{W} {W} {5}	7	Golem		2000	2000		[Mobilize] {3} <br/>You may banish three Golems rather than pay this card's cost. <br/>When this card enters the field => Destroy target resonator your opponent controls.
White Cat of Sasaru Palace	ACN	ACN-027	Resonator	Light	Common	{W}	1	Cat		200	200		When this card is put into a graveyard from the field => Gain a gem of any attribute.
White Raven	ACN	ACN-028	Resonator	Light	Common	{W}	1	Bird		300	300		[Flying] (This card cannot be blocked by J/resonators without [Flying].) <br/>When this card enters the field => You may banish a gem. If you do, draw a card.
Wing Rider Panda	ACN	ACN-029	Resonator	Light	Common	{W} {3}	4	Panda		600	1200		This card gains [Flying] as long as you control a water gem.
Apprentice Beast Tamer	ACN	ACN-030	Resonator	Fire	Common	{R} {2}	3	Dragonoid		700	700		When this card enters the field => Target Beast gains [+400/+400] and [Swiftness] until end of turn.
Archaeopteryx	ACN	ACN-031	Resonator	Fire	Uncommon	{R} {R} {2}	4	Dinosaur		800	800		[Flying] <br/>[First Strike]
Beast Den on Mt. Hoelle	ACN	ACN-032	Addition	Fire	Uncommon	{R} {1}	2						Dragonoids you control gain [+200/+200]. <br/>{R} {R}, banish this card: Search yoru deck for a Dragonoid, reveal it and put it into your hand. Then shuffle your deck.
Burning Awakening	ACN	ACN-033	Chant (Battle Arts)	Fire	Common	{R} {R}	2		Battle Arts				[Quickcast] (You may play this card anytime you have priority.) <br/>As an additional cost to play this card, remove five strength counters from your J/ruler. <br/>Target J/resonator gains [+1000/+1000] until end of turn.
Demon Watcher	ACN	ACN-034	Resonator	Fire	Uncommon	{R} {R} {3}	5	Demon		800	600		[Flying[ <br/>When this card is put into a graveyard from the field => It deals 600 damage to target resonator.
Devil's Advocate	ACN	ACN-035	Chant	Fire	Uncommon	{R} {R} {3}	5						Recover target resonator. Gain control of it until end of turn. It gains [Swiftness] until end of turn.
Dino-Rush	ACN	ACN-036	Chant	Fire	Common	{R} {1}	2						Target J/resonator you control deals damage equal to its ATK to another target J/resonator.
Dragon Call	ACN	ACN-037	Chant	Fire	Rare	{R}	1						Search your deck for a Dragon, Dragonoid, or Dinosaur, reveal it and put it into your hand. Then shuffle your deck.
Dragonoid Martial Artist	ACN	ACN-038	Resonator	Fire	Common	{R} {R} {3}	5	Dragonoid		1400	800		
Environmental Researcher, Fabre	ACN	ACN-039	Resonator	Fire	Rare	{R} {R} {3}	5	Dragonoid		400	400		[Flying] <br/>When this card enters your field => Put a [1000/1000] fire Dragon resonator token with [Flying] into the field .
Eruptiphant	ACN	ACN-040	Resonator	Fire	Rare	{R} {R} {R}	3	Beast		700	700		Beasts you control gain [Swiftness]. <br/>Whenever another resonator you control attacks => This card gains [+100/+100] until end of turn.
Explorer on Mt. Hoelle	ACN	ACN-041	Resonator	Fire	Common	{R} {1}	2	Human		700	500		When this card enters the field => Reveal the top card of your deck. If it's a chant, put it into your hand.
Fiend Fire	ACN	ACN-042	Chant	Fire	Super	{R} {X}	1						This card deals 200 damage multiplied by X to target player or resonator. If you spend {B} to play this card, you gain that much life.
Fire Dragon's Egg	ACN	ACN-043	Resonator	Fire	Common	{R} {R} {2}	4	Dragon		0	100		This card cannot attack or block. <br/>When this card is put into a graveyard from the field => Put a [1000/1000] fire Dragon resonator token with [Flying] into the field.
Flame Style	ACN	ACN-044	Chant	Fire	Uncommon	{R} {R} {2}	4						This card deals 700 damage to each resonator.
Flying Drill	ACN	ACN-045	Chant (Battle Arts)	Fire	Common	{R}	1		Battle Arts				[Quickcast] <br/>This card deals 1000 damage to target resonator with [Flying]. This card deals 1000 damage to up to one second target resonator with [Flying] if this card was awakened. <br/>[Awakening] Remove three strength counters from your J/ruler.
Food Supply	ACN	ACN-046	Chant	Fire	Common	{R}	1						[Quickcast] <br/>Put five strength counters on your J/ruler. Draw a card.
Gourmet Chef, Sherry Shera	ACN	ACN-047	Resonator	Fire	Rare	{R} {R} {2}	4	Dragonoid		1000	1000		When this card enters the field => Put ten strength counters on your J/ruler.
Hell Flame	ACN	ACN-048	Chant (Battle Arts)	Fire	Common	{R}	1		Battle Arts				[Quickcast] (You may play this card anytime you have priority.) <br/>As an additional cost to play this card, remove X strength counters from your J/ruler. <br/>This card deals X00 damage to target J/resonator.
High Speed	ACN	ACN-049	Chant (Battle Arts)	Fire	Uncommon	{R}	1		Battle Arts				[Remnant] <br/>Target resonator gains [+200/+200] and [Swiftness] until end of turn. <br/>[Awakening] Remove four strength counters from your J/ruler: This card deals 400 damage to your opponent.
Hoelle Pig	ACN	ACN-050	Resonator	Fire	Common	{R}	1	Beast		400	300		Banish this card: Recover your ruler.
Hoellesaurus	ACN	ACN-051	Resonator	Fire	Common	{R} {R}	2	Dinosaur		600	600		When this card enters the field => It deals 300 damage to target J/resonator.
Kaim, Demon of Vice	ACN	ACN-052	Resonator	Fire	Super	{R} {R} {2}	4	Demon		1000	1000		When this card enters the field => Recover target resonator with total cost 2 or less your opponent controls. Gain control of it until end of turn. It gains [Swiftness] until end of turn. <br/>Whenever a resonator you control attacks => This card deals 200 damage to your opponent. <br/>{R}, banish a resonator: This card gains [Swiftness] until end of turn.
Master of Faithful Beasts	ACN	ACN-053	Resonator	Fire	Uncommon	{R} {R} {1}	3	Dragonoid		700	700		When this card enters the field => Search your deck for a Beast, reveal it and put it into your hand. Then shuffle your deck.
Red Cap	ACN	ACN-054	Resonator	Fire	Common	{R}	1	Evil Spirit		200	200		[Swiftness] <br/>When this card is put into a graveyard from the field => Search your deck for a card named "Red Cap", reveal it and put it into your hand. Then shuffle your deck.
Stone Tongued Basilisk	ACN	ACN-055	Resonator	Fire	Common	{R} {R}	2	Beast		600	500		Whenever this card attacks => It gains [+200/0] until end of turn.
Two-Horned Almiraj	ACN	ACN-056	Resonator	Fire	Uncommon	{R}	1	Beast		500	500		When this card enters the field => It deals 500 damage to you.
Vanish in Fire	ACN	ACN-057	Chant (Battle Arts)	Fire	Rare	{R} {R} {R} {R} {R}	5		Battle Arts				As an additional cost to play this card, you may remove any number of strength counters from your J/ruler. <br/>This card deals X00 damage to each resonator your opponent controls, where X is the number of counters removed. If a resonator dealt damage by this card this turn would be put into a graveyard, remove it from the game instead.
Alternating Current Crystal	ACN	ACN-058	Resonator	Water	Rare	{U} {U} {2}	4	Magic Lifeform		0	1000		Golems you control are mobilized. <br/>{U} {1}, {Rest}: You may put a Golem from your hand into the field.
Aqua Rifle Mermaid	ACN	ACN-059	Resonator	Water	Common	{U} {U} {1}	3	Mermaid		700	700		When this card enters the field => Rest target resonator. If the weather is rain, return it to its owner's hand instead.
Aquamarine, Panda Diplomat	ACN	ACN-060	Resonator	Water	Uncommon	{U} {1}	2	Panda		500	700		When this card enters the field => You may banish a water gem. If you do, search your deck for a Mermaid, reveal it and put it into your hand. Then shuffle your deck.
Bubble Golem	ACN	ACN-061	Resonator	Water	Common	{U} {U}	2	Golem		1000	1000		[Mobilize] {1} (This card cannot attack or block unless its controller pays {1}.) <br/>At end of battle => Banish this card if it attacked or blocked.
Cleansing Rain	ACN	ACN-062	Chant	Water	Common	{U} {1}	2						[Quickcast] (You may play this card anytime you have priority.) <br/>Return target resonator to its owner's hand. If the weather is rain, put it on top of its owner's deck instead.
Confinement	ACN	ACN-063	Chant	Water	Uncommon	{U}	1						[Quickcast] <br/>[Remnant] <br/>Target resonator cannot attack this turn.
Coral Reef Mermaid	ACN	ACN-064	Resonator	Water	Common	{U} {2}	3	Mermaid		700	700		When this card is put into a graveyard from the field => Return target resonator your opponent controls to its owner's hand.
Electrical Discharge	ACN	ACN-065	Chant	Water	Common	{U} {U} {1}	3						Up to two target resonators don't recover during their controller's next recovery phase. This card deals 600 damage to them if the weather is rain.
Giant Squid	ACN	ACN-066	Resonator	Water	Common	{U} {2}	3	Squid		500	1000		
Guard at the Coral Palace	ACN	ACN-067	Resonator	Water	Uncommon	{U} {U} {1}	3	Mermaid		400	1200		Whenever this card attacks or blocks => Look at the top card of your deck. You may put it on the bottom of your deck.
Keez, the Wise Dolphin	ACN	ACN-068	Resonator	Water	Rare	{U} {3}	4	Dolphin		700	1000		{U}: This card gains [Flying] until end of turn.
Keez's Call	ACN	ACN-069	Chant	Water	Common	{U}	1						[Quickcast] <br/>Cancel target automatic ability of a resonator. Draw a card.
Magic Sound Warrior	ACN	ACN-070	Resonator	Water	Uncommon	{U} {U} {3}	5	Golem		1200	1200		[Mobilize] {2} <br/>Whenever your opponent plays a chant => Recover this card.
Magic Water Warrior	ACN	ACN-071	Resonator	Water	Common	{U} {3}	4	Golem		900	900		[Flying] <br/>[Mobilize] {2}
Magical Tidal Surge	ACN	ACN-072	Chant	Water	Super	{U} {U} {U} {2}	5						Return all non-wate resonators to their owner's hands.
Mega Thunderfish	ACN	ACN-073	Resonator	Water	Super	{U} {U} {1}	3	Fish		800	800		When this card is put into a graveyard from the field => Return target resonator you opponent controls to its owner's hand. If the weather is rain, put it on top of its owner's deck instead. <br/>This card gains [+200/+200] and [Swiftness] as long as the weather is thunderstorm.
Ocean Floor Archelon	ACN	ACN-074	Resonator	Water	Uncommon	{U} {U} {4}	6	Dinosaur		600	2000		Blocking does not cause this card to rest. <br/>{U} {U} {U} {U}: This card gains [+400/+400] until end of turn. This card cannot be blocked until end of turn.
Pandora's Order	ACN	ACN-075	Chant	Water	Uncommon	{U} {U} {2}	4						[Quickcast] <br/>Put target Golem from your graveyard into the field. It is mobilized until end of turn. At the next end of turn => Return it to its owner's hand.
Princess Shaela's Attendant	ACN	ACN-076	Resonator	Water	Common	{U}	1	Mermaid		300	300		This card gains [+200/+200] as long as the weather is rain.
Seabed Investigation	ACN	ACN-077	Chant	Water	Uncommon	{U} {U}	2						Look at the top four card of your deck. Put a card from among them into your hand and the rest on the bottom of your deck in any order. If you control a Mermaid, put two cards into your hand and the rest on the bottom of your deck in any order instead.
Shaela's Elite	ACN	ACN-078	Resonator	Water	Rare	{U} {U}	2	Mermaid		600	600		When this card enters the field => Search your deck for a Mermaid not named "Shaela's Elite", reveal it and put it into your hand. Then shuffle your deck.
Shaela's Foresight	ACN	ACN-079	Chant	Water	Rare	{U} {U}	2						[Quickcast] <br/>Choose one, if your J/ruler is "Shaela" or "Shaela, the Mermaid Princess", choose up to three instead - Put target attacking resonator on top of its owner's deck; or target player shuffles all magic stones from their graveyard into their magic stone deck, then shuffles all other cards from their graveyard into their deck; or draw a card.
Song of Sympathy	ACN	ACN-080	Chant	Water	Rare	{U} {U} {U} {U}	4						Play this card only if you control two or more Mermaids. <br/>Gain control of target resonator.
Spinning Aquasol	ACN	ACN-081	Chant	Water	Common	{U}	1						[Quickcast] <br/>Put target chant from your graveyard into your hand.
The Coral Palace	ACN	ACN-082	Addition	Water	Uncommon	{U} {U}	2						{U} {U} {2}: Draw a card.
Thunderfish	ACN	ACN-083	Resonator	Water	Common	{U}	1	Fish		200	200		When this card enters the field => Target's resonator doesn't recover during its controller's next recovery phase. <br/>When this card is put into a graveyard from the field => Draw a card if the weather is rain.
Waterfoul	ACN	ACN-084	Resonator	Water	Common	{U} {1}	2	Bird		400	600		[Flying] <br/>This card gains [+100/+200] as long as the weather is rain.
Weather Change: Rain	ACN	ACN-085	Chant	Water	Common	{U}	1						[Quickcast] (You may play this card anytime you have priority.) <br/>The weather is rain until end of turn. Draw a card.
Absolute Awareness	ACN	ACN-086	Chant: Spirit Magic	Wind	Common	{G} {G}	2		Spirit Magic				Search your magic stone deck for a basic magic stone and put it into the field rested. Then shuffle your magic stone deck.
Arrow Trap	ACN	ACN-087	Chant	Wind	Uncommon	{G}	1						[Quickcast] <br/>This card deals 600 damage to target attacking resonator. If that resonator has [Flying] this card deals 1200 damage instead.
Bullseye Bow	ACN	ACN-088	Chant	Wind	Common	{G} {G} {2}	4						Choose one - Destroy target resonator with total cost 4 or less; or destroy target resonator. Choose the second only if you control an Elf.
Commander of the Crowd	ACN	ACN-089	Resonator	Wind	Uncommon	{G} {G} {G}	3	Elf		700	700		When this card enters the field => Put two [100/100] wind Elf resonator tokens into the field. <br/>Whenever this card attacks => Other Elves you control gain [+100/+100] until end of turn.
Elemental Blast	ACN	ACN-090	Chant (Spirit Magic)	Wind	Rare	{G}	1		Spirit Magic				This card deals 400 damage to target resonator. <br/>[Torrent] This card deals 700 damage instead.
Elf in the Trees	ACN	ACN-091	Resonator	Wind	Common	{G} {2}	3	Elf		0	800		At the beginning of your main phase => Produce {G}.
Elvish Hunter	ACN	ACN-092	Resonator	Wind	Common	{G} {G} {1}	3	Elf		600	700		When this card enters the field => It deals 100 damage multiplied by the number of Elves you control to target resonator.
Faerur Letoliel	ACN	ACN-093,ACN-093J	Ruler	Wind	Rare			Elf					[Judgment] {G} {G} {1} <br/>[Energize] {G} <br/>Rest two recovered Elf resonators you control: Recover target magic stone. Play this ability only once per turn.
Faerur Letoliel, King of Wind	ACN	ACN-093J,ACN-093	J-Ruler	Wind	Rare			Elf		800	1000		This card enters the field with four gale protection counters. <br/>When this card enters the field => Search your deck for an Elf resonator with total cost 4 or less and put it into the field. Then shuffle your deck. <br/>Remove a gale protection counter from this card: Target Elf gains [Barrier] until end of turn. <br/>Remove a gale protection counter from this card: Target Elf gains [+300/+300] until end of turn.
Faerur's Command	ACN	ACN-094	Chant	Wind	Rare	{G} {G} {G} {4}	7						Recover all resonators you control. Resonators you control gain [+1000/+1000] and [Pierce] until end of turn.
Faerur's Escort	ACN	ACN-095	Resonator	Wind	Common	{G} {G} {3}	5	Elf		1000	1000		When this card enters the field => Target an Elf. At the next end of turn => Recover it.
Faerur's Spell	ACN	ACN-096	Chant	Wind	Uncommon	{G}	1						[Quickcast] <br/>Cancel target spell with [Quickcast].
Gentle Breeze Elemental	ACN	ACN-097	Chant (Spirit Magic/Elemental)	Wind	Common	{G}	1		Spirit Magic/Elemental				[Quickcast] (You may play this card anytime you have priority.) <br/>Draw a card.
Great Tornado	ACN	ACN-098	Chant	Wind	Super	{G} {6}	7						As you play this card, you may rest up to six resonators you control. You pay {1} less to play this card for each resonator rested this way. <br/>Destroy two target non-magic stone entities.
Leaf Archer	ACN	ACN-099	Resonator	Wind	Uncommon	{G} {3}	4	Elemental		600	1200		This card can block J/resonators with [Flying]. <br/>{G} {G}, {Rest}: This card deals 600 damage to target resonator with [Flying].
Leaf Fighter	ACN	ACN-100	Resonator	Wind	Common	{G}	1	Elemental		400	400		
Leaf Guard	ACN	ACN-101	Resonator	Wind	Common	{G} {1}	2	Elemental		400	800		
Leaf Healer	ACN	ACN-102	Resonator	Wind	Uncommon	{G} {G} {3}	5	Elemental		0	1500		At the end of your turn => Recover all resonators you control.
Leaf Knight	ACN	ACN-103	Resonator	Wind	Rare	{G} {G}	2	Elemental		600	600		Remove and Elemental in your graveyard from the game: This card gains [+200/+200] until end of turn. Play this ability up to two times per turn. <br/>Remove an Elemental in your graveyard from the game: This card gains [Barrier] until end of turn.
Messenger of the King	ACN	ACN-104	Resonator	Wind	Uncommon	{G} {G}	2	Elf		600	600		When this card enters the field => Up to two target Elves gain [+200/+200] until end of turn.
Portal in the Woods	ACN	ACN-105	Addition	Wind	Uncommon	{G} {G}	2						When this card enters the field => Put five guidance counters on it. <br/>At the end of your turn => Remove a guidance counter from this card. If you do, put a [100/100] wind Elf resonator token into the field.
Spirit Caller Elf	ACN	ACN-106	Resonator	Wind	Common	{G}	1	Elf		100	100		When this card enters the field => Put a [100/100] wind Elf resonator token into the field.
Spiritual Guidance	ACN	ACN-107	Chant (Spirit Magic)	Wind	Uncommon	{G} {G} {1}	3		Spirit Magic				Draw two cards. Then you gain 100 life for each card in your hand.
Tia Letoliel, Archer Princess of Elves	ACN	ACN-108	Resonator	Wind	Super	{G} {G} {2}	4	Elf		900	900		When this card enters the field => Search your deck for a card named "Tia's White Falcon", reveal it and put it into your hand. Then shuffle your deck. <br/>When this card enters the field => Target resonator gains "When damage is dealt to this card => Destroy it." until end of turn. <br/>{G} {G} {G} {3}, {Rest}: This card deals 1000 damage to target player.
Tia's White Falcon	ACN	ACN-109	Resonator	Wind	Rare	{G}	1	Beast		200	200		[Flying] <br/>As long as you control "Tia Letoliel, Archer Princess of Elves", this card gains [Swiftness]. <br/>Whenever this card attacks => It deals 200 damage to target player or resonator.
Trap Master Lemuria	ACN	ACN-110	Resonator	Wind	Rare	{G} {G} {2}	4	Elf		800	1000		[Quickcast] <br/>If resonators your opponent controls attacked a total of three times or more this turn, you may pay {G} {G} {2} less to play this card. <br/>When this card enters the field => It deals 800 damage to target attacking resonator.
Tree Root Sprite	ACN	ACN-111	Resonator	Wind	Common	{G} {2}	3	Fairy		800	800		When this card enters the field => Choose one - Destroy target non-magic stone, non-J/resonator entity; or search your deck for an Elemental and put it into your graveyard. Then shuffle your deck.
Wind Blade	ACN	ACN-112	Chant (Elemental)	Wind	Common	{G} {1}	2		Elemental				[Quickcast] <br/>This card deals 300 damage to target resonator, plus an additional 100 damage for each wind magic stone you control.
Wind Ferryman	ACN	ACN-113	Resonator	Wind	Common	{G}	1	Human		200	200		When this card enters the field => Look at the top three cards of your deck. You may reveal an Elemental or Spirit Magic from among them and put it into your hand. Put the rest on the bottom of your deck in any order.
Winds of Vitality	ACN	ACN-114	Chant (Spirit Magic)	Wind	Common	{G}	1		Spirit Magic				[Quickcast] (You may play this card anytime you have priority.) <br/>Target J/resonator gains [+600/+600] until end of turn.
Ahriman, Malicious Eye in the Dark	ACN	ACN-115	Resonator	Darkness	Common	{B} {1}	2	Familiar		600	600		When this card is put into a graveyard from the field => Put a mystery counter on your J/ruler.
Black Blood Knight	ACN	ACN-116	Resonator	Darkness	Uncommon	{B} {B} {1}	3	Vampire		800	800		Whenever this card deals damage => You gain that much life.
Bloodspray	ACN	ACN-117	Chant (Mystery)	Darkness	Common	{B} {B}	2		Mystery				Draw two cards. This card deals 300 damage to you. <br/>[Awakening] Remove a mystery counter from your J/ruler: Destroy target resonator with total cost 2 or less.
Dark Elf of the Murky Grove	ACN	ACN-118	Resonator	Darkness	Common	{B} {B} {2}	4	Dark Elf		800	800		Whenever damage is dealt to you => Put a [+100/+100] counter on this card.
Dark Elf Sorcerer	ACN	ACN-119	Resonator	Darkness	Uncommon	{B} {B} {1}	3	Dark Elf		700	700		Whenever a ruler or resonator you control deals damage to you => This card deals that much damage to your opponent.
Dark Elf Spy	ACN	ACN-120	Resonator	Darkness	Common	{B}	1	Dark Elf		400	400		At the end of your turn => This card deals 100 damage to each player.
Dark Night Butterfly	ACN	ACN-121	Chant (Mystery)	Darkness	Common	{B}	1		Mystery				Your opponent discards a card. If this card was awakened, your opponent discards two cards instead. <br/>[Awakening] Remove two mystery counters from your J/ruler.
Dark Revolution	ACN	ACN-122	Chant	Darkness	Rare	{B} {B} {2}	4						Put target resonator from your graveyard into the field.
Dark Riding Hood	ACN	ACN-123	Resonator	Darkness	Super	{B} {B} {B}	3	Fairy Tale		700	800		This card gains "Whenever this card deals damage to a resonator => Destroy that resonator." as long as your life is 2000 or less. <br/>This card gains [Swiftness] as long as your life is 1000 or less. <br/>When this card enters the field => You may remove two mystery counters from your J/ruler. If you do, remove target resonator from the game. <br/>Whenever this card attacks => It deals 200 damage to target player or resonator. You gain 200 life.
Demonic Rabbit	ACN	ACN-124	Resonator	Darkness	Common	{B} {2}	3	Rabbit/Demon		900	900		When this card is put into a graveyard from the field => It deals 500 damage to you.
Feast on Mortals	ACN	ACN-125	Chant	Darkness	Common	{B} {B} {2}	4						As an additional cost to play this card, banish a resonator. <br/>This card deals damage equal to the banished resonator's ATK to your opponent. You gain life equal to the banished resonator's DEF.
Frayla	ACN	ACN-126,ACN-126J	Ruler	Darkness	Rare			Dark Elf					[Judgment] {B} {B} {1} <br/>[Energize] {B} <br/>At the end of your turn => You may put target Dark Elf from your graveyard into your hand. If you do, this card deals 300 damage to you.
Frayla, the Revolutionist	ACN	ACN-126J,ACN-126	J-Ruler	Darkness	Rare			Dark Elf		1000	800		When this card enters the field => Put target Dark Elf from your graveyard into the field. <br/>Whenever this card attacks => Another target Dark Elf you control gains [+400/+400] and [Swiftness] until end of turn. <br/>{R}: This card gains [Swiftness] until end of turn. <br/>{R} {B}: This card deals 100 damage mulitplied by the number of Dark Elves you control to your opponent.
Gate to Outer World	ACN	ACN-127	Addition	Darkness	Rare	{B} {B} {2}	4						When this card enters the field => Your opponent removes a resonator they control from the game. <br/>{Rest},{X}: Put a resonator with total cost X from a removed area that was removed by this card into the field.
Hilda, Frayla's Left Hand	ACN	ACN-128	Resonator	Darkness	Rare	{B} {B}	2	Dark Elf		400	500		When this card enters the field => If you do not control a card named "Saffina, Frayla's Right Hand", put target card with that name from your graveyard into the field. <br.>This card gains [+300/+200] as long as your life is 2000 or less.
Lethal Arrow	ACN	ACN-129	Chant	Darkness	Common	{B}	1						[Quickcast] <br/>Destroy target damaged resonator.
Moon in the Mist	ACN	ACN-130	Chant (Mystery)	Darkness	Uncommon	{B} {B} {2}	4		Mystery				[Quickcast] <br/>Destroy target resonator. Put a mystery counter on your J/ruler.
Moonlight Shadow	ACN	ACN-131	Resonator	Darkness	Common	{B}	1	Vampire		400	400		
Saffina, Frayla's Right Hand	ACN	ACN-132	Resonator	Darkness	Rare	{B} {B}	2	Dark Elf		500	400		When this card enters the field => If you don't control a card named "Hilda, Frayla's Left Hand", search your deck for a card with that name, reveal it and put it into your hand. Then shuffle your deck. <br/>This card gains [+200/+300] as long as your life is 2000 or less.
Shade Assassin	ACN	ACN-133	Resonator	Darkness	Uncommon	{B}	1	Dark Elf		200	200		Whenever this card deals damage to a resonator => Destroy that resonator. <br/>This card gains [Swiftness] as long as you control another Dark Elf.
Stealth Demon	ACN	ACN-134	Resonator	Darkness	Uncommon	{B} {B} {3}	5	Demon		800	600		[Flying] <br/>When this card is put into a graveyard from the field => It deals 600 damage to your opponent.
Sword of the New Moon	ACN	ACN-135	Chant (Mystery)	Darkness	Common	{B}	1		Mystery				[Quickcast] (You may play this card anytime you have priority.) <br/>Choose one - Destroy target resonator with total cost 1 or less; or destroy target resonator with total cost 4 or less if this card was awakened. <br/>[Awakening] Remove a mystery counter from your J/ruler.
Tactics of the Dark Elves	ACN	ACN-136	Chant	Darkness	Uncommon	{B} {B} {1}	3						Up to two target resonators cannont be destroyed until end of turn and gain "Whenever this card deals damage to a resonator => Destroy that resonator." until end of turn.
The Three Evil Little Pigs	ACN	ACN-137	Resonator	Darkness	Uncommon	{B} {B} {3}	5	Fairy Tale		400	400		When this card enters the field => Put a [400/400] darkness Pig resonator token with "When this card is put into a graveyard from the field => It deals 400 damage to your opponent." and a [400/400] darkness Pig resonator token with "When this card is put into a graveyard from the field => You gain 400 life." into the field.
Transforming Vampire	ACN	ACN-138	Resonator	Darkness	Common	{B} {1}	2	Vampire		500	400		Whenever this card deals damage => You gain that much life.
Treasonous Guard	ACN	ACN-139	Resonator	Darkness	Common	{B} {1}	2	Dark Elf		600	600		When this card enters the field => It deals 200 damage to each player.
Truth Amongst Darkness	ACN	ACN-140	Chant	Darkness	Uncommon	{B} {2}	3						[Remnant] <br/>Look at target opponent's hand and choose a card. They remove that card from the game.
Vicious Wounded Beast	ACN	ACN-141	Resonator	Darkness	Common	{B} {B} {3}	5	Dinosaur		1000	1000		When this card enters the field => Put two mystery counters on your J/ruler.
Vitality Drain	ACN	ACN-142	Chant (Mystery)	Darkness	Super	{B} {B} {3}	5		Mystery				[Quickcast] <br/>Target player loses 1000 life. You gain 1000 life. <br/>[Awakening] Remove a mystery counter from your J/ruler: This card deals 1000 damage to target resonator.
Wolf's Rain	ACN	ACN-143	Chant	Darkness	Rare	{B} {2}	3						Put three [300/300] darkness Beast/Wolf resonator tokens with [Swiftness] and [Precision] into the field. At the next end of turn => Remove them from the game.
Idol of Magic	ACN	ACN-144	Addition	Void	Common	{1}	1						{1}, banish this card: Produce {W}, {R}, {U}, {G}, or {B}. <br/>When this card is put into a graveyard from the field => Draw a card.
Idol of Vitality	ACN	ACN-145	Addition	Void	Common	{1}	1						{1}, banish this card: Target J/resonator gains [+200/+200] until end of turn. Draw a card.
Idol of Willpower	ACN	ACN-146	Addition	Void	Common	{1}	1						{1}, banish this card: You gain 500 life. Draw a card.
Statue in the Sacred Temple	ACN	ACN-147	Addition	Void	Rare	{2}	2						Magic stones you control gain "{Rest}: Produce {W}, {R}, {U}, {G}, or {B}.". <br/>{W} {R} {U} {G} {B}, banish this card: Put a [1000/1000] light Angel resonator token with [Flying] into the field.
Demonic Soulstone	ACN	ACN-148	Special Magic Stone		Rare								Treat this card as a darkness magic stone. <br/>{Rest}: Produce {B}. <br/>{2}, {Rest}: This card deals 100 damage multiplied by the number of Dark Elves you control to each player.
Mysterious Magic Stone	ACN	ACN-149	Special Magic Stone		Rare								Treat this card as a light magic stone. <br/>{Rest}: Produce {W}. <br/>{W}. {Rest}, banish this card: Put target Golem from your graveyard into your hand.
Saintly Elven Stone	ACN	ACN-150	Special Magic Stone		Rare								Treat this card as a wind magic stone. <br/>{Rest}: Produce {G}. <br/>{Rest}: Target Elf gains [+100/+100] until end of turn.
[Variant] Wind Rider Panda	ACN	ACN-151	Resonator	Light	Common	{W} {3}	4	Panda		800	1000		This card gains [Flying] as long as you control a water gem.
[Variant] Stone Tongued Basilisk	ACN	ACN-152	Resonator	Fire	Common	{R} {R}	2	Beast		500	500		Whenever this card attacks => Target resonator can't block this turn.
[Variant] Giant Squid	ACN	ACN-153	Resonator	Water	Common	{U} {2}	3	Squid		600	1000		
[Variant] Faerur's Escort	ACN	ACN-154	Resonator	Wind	Common	{G} {G} {3}	5	Elf		1000	1000		When this card enters the field => Target Elf can't be destroyed until the beginning of your next turn.
[Variant] Vicious Wounded Beast	ACN	ACN-155	Resonator	Darkness	Common	{B} {B} {3}	5	Dinosaur		1000	900		[First Strike] <br/>When this card enters the field => Put two mystery counters on your J/ruler.
Darkness Magic Stone	ACN	ACN-156	Basic Magic Stone										{Rest}: Produce {B}.
Fire Magic Stone	ACN	ACN-157	Basic Magic Stone										{Rest}: Produce {R}.
Light Magic Stone	ACN	ACN-158	Basic Magic Stone										{Rest}: Produce {W}.
Water Magic Stone	ACN	ACN-159	Basic Magic Stone										{Rest}: Produce {U}.
Wind Magic Stone	ACN	ACN-160	Basic Magic Stone										{Rest}: Produce{G}.
Treasure Hunter Fierica	ACN	ACN-161,ACN-161J	Basic Ruler	Light				Human					[Judgment] {W} {W} {2} <br/>At the beginning of the game => Gain a gem of any attribute. <br/>At the beginning of the game => Put two limited counters on this card. <br/>{1}, remove a limited counter from this card: Produce {W}, {R}, {U}, {G}, or {B}.
Treasure Hunter Fierica	ACN	ACN-161J,ACN-161	Basic J-Ruler	Light				Human		1000	1000		When this card enters the field => Gain two gems of any one attribute. <br/>{1}, remove a limited counter from this card: Produce {W}, {R}, {U}, {G}, or {B}.
Martial Artist Pialle Eille	ACN	ACN-162,ACN-162J	Basic Ruler	Fire				Dragonoid					[Judgment] {R} {R} {2} <BR/>At the beginning of the game => Put ten strength counters on this card. <br/>At the beginning of the game => Put two limited counters on this card. <br/>{1}, remove a limited counter from this card: Produce {W}, {R}, {U}, {G}, or {B}.
Martial Artist Pialle Eille	ACN	ACN-162J,ACN-162	Basic J-Ruler	Fire				Dragonoid		1000	1000		When this card enters the field => Put X strength counters on it, where X is finfteen minus the number of strength counters on this card. <br/>{1}, remove a limited counter from this card: Produce {W}, {R}, {U}, {G}, or {B}.
Mephina, Mermaid Shaman	ACN	ACN-163,ACN-163J	Basic Ruler	Water				Mermaid					[Judgment] {U} {U} {2} <br/>The weather is rain during your turn. <br/>At the beginning of the game => Put two limited counters on this card. <br/>{1}, remove a limited counter from this card: Produce {W}, {R}, {U}, {G}, or {B}.
